receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,tram_metro,305,0,0,0,305,0,0,0.0
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,bus,792,3,0,0,789,0,0,0.4
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,suburban,141,125,0,11,5,0,0,88.7
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,regional,33,26,0,5,2,0,0,78.8
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,long_distance,11,8,0,0,3,0,0,72.7
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,ferry,3,0,0,0,3,0,0,0.0
2026-09-06T09:45:48.463688+00:00,berlin,Berlin,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,tram_metro,65,44,0,0,21,0,0,67.7
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,bus,660,236,0,177,247,0,0,35.8
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,suburban,69,28,0,0,41,0,0,40.6
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,regional,17,14,0,3,0,0,0,82.4
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,long_distance,7,6,0,0,1,0,0,85.7
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,ferry,14,12,0,1,1,0,0,85.7
2026-09-06T09:45:48.463688+00:00,hamburg,Hamburg,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,munich,München,tram_metro,222,152,0,70,0,0,0,68.5
2026-09-06T09:45:48.463688+00:00,munich,München,bus,578,338,0,131,109,0,0,58.5
2026-09-06T09:45:48.463688+00:00,munich,München,suburban,57,46,0,7,4,0,0,80.7
2026-09-06T09:45:48.463688+00:00,munich,München,regional,18,13,0,5,0,0,0,72.2
2026-09-06T09:45:48.463688+00:00,munich,München,long_distance,7,3,0,0,4,0,0,42.9
2026-09-06T09:45:48.463688+00:00,munich,München,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,munich,München,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,cologne,Köln,tram_metro,114,93,0,20,1,0,0,81.6
2026-09-06T09:45:48.463688+00:00,cologne,Köln,bus,179,85,0,24,70,0,0,47.5
2026-09-06T09:45:48.463688+00:00,cologne,Köln,suburban,15,13,0,2,0,0,0,86.7
2026-09-06T09:45:48.463688+00:00,cologne,Köln,regional,18,13,0,4,1,0,0,72.2
2026-09-06T09:45:48.463688+00:00,cologne,Köln,long_distance,9,8,0,1,0,0,0,88.9
2026-09-06T09:45:48.463688+00:00,cologne,Köln,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,cologne,Köln,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,tram_metro,174,95,0,67,12,0,0,54.6
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,bus,348,159,0,106,83,0,0,45.7
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,suburban,37,33,0,3,1,0,0,89.2
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,regional,24,13,0,9,2,0,0,54.2
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,long_distance,7,4,0,1,2,0,0,57.1
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,frankfurt,Frankfurt am Main,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,tram_metro,174,147,0,3,24,0,0,84.5
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,bus,254,179,0,23,52,0,0,70.5
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,suburban,22,16,0,5,1,0,0,72.7
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,regional,17,12,0,2,3,0,0,70.6
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,long_distance,9,6,0,2,1,0,0,66.7
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,stuttgart,Stuttgart,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,tram_metro,67,37,0,8,22,0,0,55.2
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,bus,323,137,0,100,86,0,0,42.4
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,suburban,20,14,0,6,0,0,0,70.0
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,regional,12,8,0,3,1,0,0,66.7
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,long_distance,4,4,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,duesseldorf,Düsseldorf,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,tram_metro,36,5,0,5,26,0,0,13.9
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,bus,193,52,0,7,134,0,0,26.9
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,suburban,8,7,0,1,0,0,0,87.5
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,regional,8,6,0,2,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,long_distance,3,3,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,ferry,5,0,0,0,5,0,0,0.0
2026-09-06T09:45:48.463688+00:00,bonn,Bonn,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,tram_metro,125,68,0,55,2,0,0,54.4
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,bus,126,71,0,25,30,0,0,56.3
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,suburban,25,22,0,2,1,0,0,88.0
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,regional,9,8,0,1,0,0,0,88.9
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,long_distance,3,1,0,0,2,0,0,33.3
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,leipzig,Leipzig,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,dresden,Dresden,tram_metro,119,48,0,49,22,0,0,40.3
